Aaron Copland
Michele Campanella
Mieczysław Horszowski
Mieczysław Munz
Mikhaïl Faerman
Mikhail Kerzelli
Mikhail Pletnev
Mikhail Rudy
Milan Langer
Miloš Mihajlović
Mily Balakirev
Mindru Katz
Ming Qiang Li
Miroslav Kultyshev
Mischa Levitzki
Misha Dichter
Mitja Nikisch
Mitsuko Uchida
Mona Golabek
Monique Haas
Mordecai Shehori
Moritz Moszkowski
Moriz Rosenthal
Morton Estrin
Moura Lympany
Murray McLachlan
Murray Perahia
Mūza Rubackytė
Muzio Clementi
Myriam Avalos
Nadia Azzi
Nadia Boulanger
Naida Cole
Nancy Weir
Natalia Karp
Natalya Pasichnyk
Natan Brand
Neal Peres Da Costa
Neil Galanter
Nelly Akopian-Tamarina
Nelly Ben-Or
Nelson Freire
Nicholas Angelich
Nicholas Roth
Nick van Bloss
Nicolai Lomov
Nikita Magaloff
Nikolai Demidenko
Nikolai Lugansky
Nikolai Medtner
Nikolai Orlov
Nikolai Rubinstein
Nikolai Zverev
Nobuyuki Tsujii
Noel Mewton-Wood
Norma Fisher
Norman Shetler
Oleg Marshev
Olga Kern
Olga Samaroff
Olga Scheps
Olli Mustonen
Orion Weiss
Oscar Levant
Ossip Gabrilowitsch
Otakar Hollmann
Oxana Yablonskaya
Ozan Marsh
Pancho Vladigerov
Pascal Nemirovski
Pascal Rogé
Patrick Crommelynck
Paul Badura-Skoda
Paul Baumgartner
Paul Doguereau
Paul Jacobs
Paul Klengel
Paul Lewis
Paul Posnak
Paul Procopolis
Paul Wittgenstein
Pavel Egorov
Pavel Gintov
Pavel Štěpán
Pedro Albéniz
Penelope Thwaites
Percy Grainger
Percy Kahn
Per Enflo
Per Tengstrand
Peter Donohoe
Peter Frankl
Peter Hill
Peter Jablonski
Peter Katin
Peter Lockwood
Peter Schmalfuss
Peter Serkin
Peter Stadlen
Petronel Malan
Philip Edward Fisher
Philip Howard
Philip Martin
Philippe Bianconi
Philippe Entremont
Pierre-Laurent Aimard
Piers Lane
Pietro Spada
Piotr Anderszewski
Pnina Salzman
Rachel Cheung
Radoslav Kvapil
Radu Lupu
Rafael Joseffy
Rafael Orozco
Rafał Blechacz
Raffi Besalyan
Ralf Gothóni
Ralph Leopold
Ralph Votapek
Rami Bar-Niv
Ramzi Yassa
Raoul Pugno
Raoul (von) Koczalski
Ray Lev
Raymond Lewenthal
Regina Shamvili
Regina Smendzianka
Reid Nibley
Reinbert de Leeuw
Rem Urasin
Rena Kyriakou
Reuel Meditz
Rex Hobcroft
Reynaldo Hahn
Rhondda Gillespie
Ricardo Castro
Ricardo Viñes
Richard Aaker Trythall
Richard Buhlig
Richard Contiguglia
Richard Egarr
Richard Farrell
Richard Goode
Richard Kapp
Risto Lauriala
Robert Casadesus
Robert D. Levin
Robert Goldsand
Robert Levin
Roberto Carnevale
Roberto Prosseda
Roberto Szidon
Roberto Urbay
Robert Schumann
Roger Lord
Roger Vignoles
Roger Woodward
Roger Wright
Roland Pöntinen
Roland Pröll
Roman Rabinovich
Romola Costantino
Ronald Brautigam
Ronald Smith
Ronald Stevenson
Rosalyn Tureck
Rosario Marciano
Rose and Ottilie Sutro
Rose Cannabich
Rosina Lhévinne
Roy Shepherd
Róża Etkin-Moszkowska
Rubin Goldmark
Rudolf Buchbinder
Rudolf Firkušný
Rudolf Jansen
Rudolf Serkin
Rudolph Ganz
Ruslan Sviridov
Russell Sherman
Ruth Laredo
Ruth Slenczynska
Ryszard Bakst
Samson François
Samuel Grodin
Samuil Feinberg
Sandrine Erdely-Sayo
Santiago Rodriguez
Santos Ojeda
Sara Davis Buechner
Sarah Cahill
Scott Joplin
Sean Kennard
Sergei Babayan
Sergei Bortkiewicz
Sergei Lyapunov
Sergei Prokofiev
Sergei Rachmaninoff
Sergei Tarnowsky
Sergio Fiorentino
Sergio Monteiro
Sergio Tiempo
Severin Eisenberger
Severin von Eckardstein
Shura Cherkassky
Siegfried Rapp
Sigismond Thalberg
Sigurd Slåttebrekk
Simon Barere
Simone Dinnerstein
Simone Keller
Simon Tedeschi
Simon Trpčeski
Sir Charles Hallé
Sir Clifford Curzon
Sir Landon Ronald
Skylar Thomas
Soheil Nasseri
Solomon
Soulima Stravinsky
Stanislas Niedzielski
Stanislav Bunin
Stanislav Ioudenitch
Stanley Babin
Stefan Ammer
Stefan Askenase
Stefano Bollani
Stefano Golinelli
Stefano Miceli
Stefan Vladar
Steffen Schleiermacher
Stephanie Kapsetaki
Stephanie McCallum
Stephen Beus
Stephen Colletti
Stephen Coombs
Stephen Heller
Stephen Hough
Stephen Kovacevich
Steven De Groote
Steven Osborne
Süher Pekinel
Sun Meiting
Sun Yingdi
Susan Starr
Svetla Protich
Sviatoslav Richter
Sydney Smith
Sylviane Deferne
Szuyu Rachel Su
Tadeusz Żmudziński
Tamara Anna Cislowska
Tamás Vásáry
Tan Crone
Tarja Turunen
Tasso Janopoulo
Tatiana Nikolayeva
Terence Judd
Teresa Carreño
Tessa Birnie
Theo Bruins
Theodor Coccius
Theodor Kullak
Theodor Leschetizky
Thomas Lorango
Thomas Rajna
Thomas Tellefsen
Till Fellner
Timur Selçuk
Tobias Koch
Trevor Barnard
Tzvi Erez
Ueli Wiget
Umi Garrett
Ursula Oppens
Václav Tomášek
Valda Aveling
Valentina Igoshina
Valentina Lisitsa
Valentin Radu
Valentin Schiedermair
Valerie Tryon
Valery Afanassiev
Valery Sigalevitch
Van Cliburn
Vasily Safonov
Vera Bradford
Vera Timanova
Victor Aller
Victor Babin
Victor Bendix
Victor Borge
Victor Merzhanov
Victor Paukstelis
Victor Sangiorgio
Victor Schiøler
Viktoria Postnikova
Vilém Kurz
Vincent Persichetti
Violetta Egorova
Vitya Vronsky
Vladimir Ashkenazy
Vladimir de Pachmann
Vladimir de Pachmann
Vladimir Feltsman
Vladimir Horowitz
Vladimir Krainev
Vladimir Krpan
Vladimir Ovchinnikov
Vladimir Sofronitsky
Vladimir Valjarević
Vladimir Viardo
Vlado Perlemuter
Walter Bache
Walter Gieseking
Walter Hautzig
Walter Klien
Walter Landauer
Walter Rehberg
Wanda Landowska
Wassily Sapellnikoff
Webster Aitken
Werner Haas
Wibi Soerjadi
Wilhelm Backhaus
Wilhelm Kempff
William Black
William Dayas
William Denis Browne
William Joseph
William Kapell
William Mason
William Masselos
William Murdoch
William Sterndale Bennett
William Vincent Wallace
Willi Thern
Winifred Burston
Winifred Byrd
Winifred Christie
Witold Lutosławski
Witold Małcużyński
Władysław Szpilman
W. O. Forsyth
Wojciech Żywny
Wolfgang Amadeus Mozart
Wolfram Lorenzen
Wonny Song
Xaver Scharwenka
Yaara Tal
Yakov Flier
Yakov Kasman
Yakov Zak
Yaltah Menuhin
Yanni
Yara Bernette
Yefim Bronfman
Yevgeny Sudbin
Yevgeny Svetlanov
Yiruma
Yolanda Mero
Yoram Ish-Hurwitz
Yoshiki Hayashi
Youra Guller
Youri Egorov
Yuja Wang
Yves Nat
Yvonne Arnaud
Yvonne Hubert
Yvonne Loriod
Zbigniew Drzewiecki
Zhu Xiao-Mei
Zoltán Kocsis
Zoran G. Jančić
Zygmunt Stojowski
